text,label
Scientists reveal shocking truth about water that doctors don't want you to know! This miracle cure will change your life forever.,FAKE
Miracle weight loss pill approved by doctors lets you lose 50 pounds in one week without exercise!,FAKE
Climate scientists warn that global temperatures are on track to rise 1.5 degrees Celsius above pre-industrial levels by 2030.,REAL
Major tech companies announced new privacy measures in response to updated data protection regulations.,REAL
BREAKING: Celebrities reveal the one secret that makes them look 20 years younger!,FAKE
The Department of Transportation announced new safety regulations for autonomous vehicles operating on public roads.,REAL
Researchers at MIT have developed a new battery technology that could extend electric vehicle range by up to 30 percent.,REAL
Education officials reported that high school graduation rates have reached a record high of 88 percent nationwide.,REAL
Doctors furious as new discovery makes all medicine obsolete!,FAKE
Energy companies reported progress in carbon capture technology that could reduce industrial emissions.,REAL
A peer-reviewed study found that renewable energy sources now account for 30 percent of global electricity generation.,REAL
"The Federal Trade Commission approved a merger between two telecommunications companies, subject to certain conditions.",REAL
"NASA's James Webb Space Telescope has captured detailed images of distant galaxies, providing new insights into the early universe.",REAL
Shocking discovery: Eating this common food will make you live to 200 years old!,FAKE
The Census Bureau released new population data showing demographic shifts in urban and rural areas.,REAL
URGENT WARNING: Stop eating this food immediately or face deadly consequences!,FAKE
Shocking revelation: Popular soda brand contains dangerous chemicals that turn you into a zombie!,FAKE
Breaking news: Scientists discover that the Earth is actually flat and NASA has been lying all along!,FAKE
"Archaeologists in Egypt uncovered a 3,000-year-old tomb containing well-preserved artifacts and hieroglyphic inscriptions.",REAL
URGENT: New study shows that everything you know about health is completely wrong!,FAKE
"A clinical trial showed promising results for a new Alzheimer's treatment, though researchers caution that further studies are needed.",REAL
EXPOSED: The truth about climate change that scientists don't want you to know!,FAKE
"The World Health Organization reported a decline in malaria cases globally, crediting improved prevention and treatment programs.",REAL
The State Department announced a new diplomatic initiative aimed at strengthening trade relationships with allied nations.,REAL
Amazing: Local woman predicts future with 100% accuracy using this method!,FAKE
The National Institutes of Health allocated additional funding for cancer research and clinical trials.,REAL
New study proves that vaccines cause more harm than good - what they're hiding from you!,FAKE
"BREAKING: Secret society controls all world governments, insider reveals all!",FAKE
You won't believe what happened when this person tried this weird trick! Experts are baffled!,FAKE
"The Federal Reserve announced a quarter-point interest rate increase today, citing ongoing inflation concerns and strong labor market data.",REAL
Shocking discovery: Pyramids were actually built by time travelers!,FAKE
Incredible discovery: Ancient civilization had technology far superior to ours!,FAKE
URGENT: Popular brand recalled after customers report turning invisible!,FAKE
Agricultural researchers developed drought-resistant crop varieties that could help address food security challenges.,REAL
Amazing breakthrough: This common household item can cure cancer overnight!,FAKE
"The Senate passed a bipartisan infrastructure bill with a vote of 69-30, allocating funds for roads, bridges, and broadband expansion.",REAL
A breakthrough in quantum computing research could lead to more powerful processors within the next decade.,REAL
"The Labor Department reported that unemployment fell to 3.7 percent last month, with 250,000 new jobs added.",REAL
The Supreme Court heard arguments today in a case that could affect voting rights legislation across multiple states.,REAL
Unbelievable: Man survives 50 years without food or water using this trick!,FAKE
The United Nations Security Council convened an emergency meeting to discuss the ongoing humanitarian crisis in several regions.,REAL
BREAKING: Government confirms aliens have been living among us for decades. Click here to see proof!,FAKE
Breaking: New world order plan revealed in leaked government documents!,FAKE
You won't believe what this celebrity did next! Doctors hate this one simple trick.,FAKE
"The International Monetary Fund revised its global growth forecast upward, citing stronger-than-expected recovery in major economies.",REAL
"The European Central Bank maintained its current interest rates, stating that inflation remains within target ranges.",REAL
"Apple Inc. reported quarterly earnings that exceeded analyst expectations, driven by strong iPhone and services revenue.",REAL
Doctors baffled by this weird trick that eliminates all pain instantly!,FAKE
A new volcanic eruption in Iceland has prompted evacuations and disrupted air traffic across Northern Europe.,REAL
EXCLUSIVE: Leaked documents prove that the moon landing was completely fake!,FAKE
Incredible: This simple morning ritual can make you a millionaire in 30 days!,FAKE
Miracle discovery: Scientists find fountain of youth hidden in common vegetable!,FAKE
"Marine biologists documented coral reef recovery in protected areas, suggesting conservation efforts are having positive effects.",REAL
Shocking footage: Bigfoot caught on camera in suburban neighborhood!,FAKE
Unbelievable: This grandmother's secret remedy cures all diseases instantly!,FAKE
"SpaceX successfully launched its Starlink satellite mission, bringing the total number of satellites in orbit to over 3,000.",REAL
Shocking: This everyday activity is secretly killing millions of people worldwide!,FAKE
Miracle cure: Rubbing this on your skin erases wrinkles in minutes!,FAKE
Scientists identified a new species of deep-sea fish during a research expedition in the Pacific Ocean.,REAL
A new study published in Nature shows that regular exercise reduces the risk of cardiovascular disease by approximately 25 percent.,REAL
